size,se,coef
5000,0.010761481809000197,intTime1Car
5000,0.01075925009030405,intTime1CarExpress
5000,0.010718193810887323,intTime1Taxi
5000,0.010752382215706395,intTime1Bus
5000,0.010911929417970716,intTime2Walk
5000,0.0071026419532684995,intTime2Taxi
6000,9.03349998236453e-4,price
6000,0.003080380077770791,expressFee
6000,0.13388459566232874,leg1ModeCar
6000,0.13358805948228003,leg1ModeCarExpress
6000,0.12868296635690113,leg1ModeUberTaxi
6000,0.1290125744213562,leg1ModeBus
6000,0.12419021056112904,leg2ModeWalk
6000,0.09648762610100989,leg2ModeUberTaxi
6000,0.04551191237089302,leg2ModeBus
6000,0.009569992839503305,leg1Time
6000,0.0026134861296839935,leg2Time
6000,0.002430913730465957,transfer1Time
6000,0.002952751711118222,transfer2Time
6000,0.015792355633113327,tripTimeUnc0_1
6000,0.015749425706923444,tripTimeUnc0_2
6000,0.00972770011276098,intTime1Car
6000,0.009720929778874853,intTime1CarExpress
6000,0.00969265773849509,intTime1Taxi
6000,0.009716905500550202,intTime1Bus
6000,0.009964195092265156,intTime2Walk
6000,0.006462012514695193,intTime2Taxi
7000,8.385949993536523e-4,price
7000,0.0028704900398810493,expressFee
7000,0.12474561459609453,leg1ModeCar
7000,0.12451325031121768,leg1ModeCarExpress
7000,0.11992904235076396,leg1ModeUberTaxi
7000,0.12009190403832601,leg1ModeBus
7000,0.11355721574263404,leg2ModeWalk
7000,0.08791785417165142,leg2ModeUberTaxi
7000,0.04211773329259412,leg2ModeBus
7000,0.008924112743994492,leg1Time
7000,0.0024389913935189893,leg2Time
7000,0.0022432644080404057,transfer1Time
7000,0.0027489472939835886,transfer2Time
7000,0.014625465954882866,tripTimeUnc0_1
7000,0.014625836150962029,tripTimeUnc0_2
7000,0.009069288822364208,intTime1Car
7000,0.009066570525024738,intTime1CarExpress
7000,0.00904037855446875,intTime1Taxi
7000,0.009059068264248297,intTime1Bus
7000,0.009153687756883603,intTime2Walk
7000,0.005942409371678157,intTime2Taxi
8000,7.865049636880794e-4,price
8000,0.002670415834045682,expressFee
8000,0.11550616226355453,leg1ModeCar
8000,0.11531909056270216,leg1ModeCarExpress
8000,0.11096597844952688,leg1ModeUberTaxi
8000,0.11143674516583839,leg1ModeBus
8000,0.10705180120307684,leg2ModeWalk
8000,0.0832258677711222,leg2ModeUberTaxi
8000,0.039368449302030845,leg2ModeBus
8000,0.00823942719929479,leg1Time
8000,0.002264502566940177,leg2Time
8000,0.0021122676184562716,transfer1Time
8000,0.002562856183903704,transfer2Time
8000,0.013704095511102124,tripTimeUnc0_1
8000,0.013693442156065258,tripTimeUnc0_2
8000,0.008379888196430518,intTime1Car
8000,0.0083733139138634,intTime1CarExpress
8000,0.008344465475618134,intTime1Taxi
8000,0.008371753179924746,intTime1Bus
8000,0.00857539137925998,intTime2Walk
8000,0.005603621741391472,intTime2Taxi
9000,7.414420618759674e-4,price
9000,0.002523522136920906,expressFee
9000,0.10962452108474259,leg1ModeCar
9000,0.10928929620644492,leg1ModeCarExpress
9000,0.10535076207090587,leg1ModeUberTaxi
9000,0.10552002779438403,leg1ModeBus
9000,0.10020221341250525,leg2ModeWalk
9000,0.07862783261294938,leg2ModeUberTaxi
9000,0.03735776384479942,leg2ModeBus
9000,0.007869979370287274,leg1Time
9000,0.0021553125775263717,leg2Time
9000,0.0019847356820669464,transfer1Time
9000,0.0024313814697907786,transfer2Time
9000,0.01290450756335687,tripTimeUnc0_1
9000,0.01290602822389063,tripTimeUnc0_2
9000,0.008002186319469121,intTime1Car
9000,0.007995785572445296,intTime1CarExpress
9000,0.007972980057558029,intTime1Taxi
9000,0.007990315271823159,intTime1Bus
9000,0.008045083297638238,intTime2Walk
9000,0.005287406285940302,intTime2Taxi
10000,7.024731232768219e-4,price
10000,0.0023966745279031163,expressFee
10000,0.10354940192022441,leg1ModeCar
