size,se,coef
5000,0.04627226371259648,leg2ModeWalk
5000,0.05595909298671469,leg2ModeUberTaxi
5000,0.04577433872414115,leg2ModeBus
5000,9.052229353225639e-4,leg1Time
5000,0.0025567142438665774,leg2Time
5000,0.002669517134015895,transfer1Time
5000,0.0032589350352659717,transfer2Time
5000,0.01728149020651982,tripTimeUnc0_1
5000,0.01724866575143779,tripTimeUnc0_2
6000,9.0329682104108e-4,price
6000,0.0030802488580736016,expressFee
6000,0.04385272874691718,leg1ModeCar
6000,0.04402604124230577,leg1ModeCarExpress
6000,0.03530141840110753,leg1ModeUberTaxi
6000,0.0339512852927896,leg1ModeBus
6000,0.042172515038968,leg2ModeWalk
6000,0.05094116364990266,leg2ModeUberTaxi
6000,0.04176692273342986,leg2ModeBus
6000,8.282492542821355e-4,leg1Time
6000,0.0023171286910153932,leg2Time
6000,0.0024308163569305478,transfer1Time
6000,0.002952632479177771,transfer2Time
6000,0.01579080186782722,tripTimeUnc0_1
6000,0.015748008715568033,tripTimeUnc0_2
7000,8.384925929756515e-4,price
7000,0.002870165631210906,expressFee
7000,0.04109123633419718,leg1ModeCar
7000,0.0410978354462396,leg1ModeCarExpress
7000,0.03282515452866381,leg1ModeUberTaxi
7000,0.03164612496139034,leg1ModeBus
7000,0.03890212428894408,leg2ModeWalk
7000,0.04696910773309614,leg2ModeUberTaxi
7000,0.03859255015848568,leg2ModeBus
7000,7.648247990066384e-4,leg1Time
7000,0.0021569815519383085,leg2Time
7000,0.0022429149415409016,transfer1Time
7000,0.002748750721715234,transfer2Time
7000,0.014624254317298096,tripTimeUnc0_1
7000,0.014624942739626355,tripTimeUnc0_2
8000,7.864764714577057e-4,price
8000,0.002670274220937216,expressFee
8000,0.03817128225069248,leg1ModeCar
8000,0.038199760926640215,leg1ModeCarExpress
8000,0.03053109774588258,leg1ModeUberTaxi
8000,0.02923911430544997,leg1ModeBus
8000,0.036427598059087636,leg2ModeWalk
8000,0.04416266690634854,leg2ModeUberTaxi
8000,0.036167553232220144,leg2ModeBus
8000,7.16731202570362e-4,leg1Time
8000,0.002011004468486675,leg2Time
8000,0.0021122103431495697,transfer1Time
8000,0.002562848632655907,transfer2Time
8000,0.013702807714243257,tripTimeUnc0_1
8000,0.013693031975068083,tripTimeUnc0_2
9000,7.414139606569999e-4,price
9000,0.002523127037165888,expressFee
9000,0.03596194646741413,leg1ModeCar
9000,0.03608475543043957,leg1ModeCarExpress
9000,0.0289707924908599,leg1ModeUberTaxi
9000,0.027788831198656008,leg1ModeBus
9000,0.034354665046520724,leg2ModeWalk
9000,0.041660847504038014,leg2ModeUberTaxi
9000,0.034183243466023396,leg2ModeBus
9000,6.768774305092061e-4,leg1Time
9000,0.0019064450119509351,leg2Time
9000,0.0019845703114739328,transfer1Time
9000,0.0024312356167026407,transfer2Time
9000,0.012903913781781507,tripTimeUnc0_1
9000,0.012904923140194322,tripTimeUnc0_2
10000,7.024498924615364e-4,price
10000,0.002396618386189371,expressFee
10000,0.03432500186304892,leg1ModeCar
10000,0.03444954026040697,leg1ModeCarExpress
10000,0.02726213699400362,leg1ModeUberTaxi
10000,0.026214103942963154,leg1ModeBus
10000,0.03254789230210315,leg2ModeWalk
10000,0.03952590851683828,leg2ModeUberTaxi
10000,0.032394557801909765,leg2ModeBus
10000,6.437634940109531e-4,leg1Time
10000,0.0017997366777341216,leg2Time
10000,0.0018853436248287701,transfer1Time
10000,0.0022997626525542926,transfer2Time
10000,0.01224628269688034,tripTimeUnc0_1
10000,0.012246546265033317,tripTimeUnc0_2
